date,amount,cost_per_gram
2023-08-14T22:23:48.838,1,5,e3ca10f5-ce1a-4367-b9b1-7e2e91eeadc9
2023-08-15T12:34:02.164,0.15,5,a9c470c7-29ff-4a59-a6a7-a249a3542917
2023-08-15T20:32:47.41,0.25,5,341415fe-78e5-4feb-893f-0de3d54b2254
2023-08-15T22:34:16.804,0.25,5,d23db2c2-fbde-4e33-9375-1a6f787e2ab7
2023-08-16T11:03:25.767,0.25,5,48b10093-9969-42fe-b21d-87015c2a2a2f
2023-08-16T18:55:20.592,0.3,5,80dd5421-4136-4296-9cc6-d71b5b16d7d4
2023-08-16T23:36:31.704,0.3,5,d7aca57b-5604-47b1-86cb-e4e1d7a221fe
2023-08-17T20:39:35.583,0.1,5,877fe468-f0ce-425c-9d27-2649057c7ea1
2023-08-17T12:01:00,0.1,5,8564f108-2fd2-4504-b279-c52555ccc483
2023-08-17T22:53:01.522,0.1,5,566a3dfe-f920-4060-938a-38529dd71b05
2023-08-18T17:05:04.591,0.1,5,47fc72ff-7e92-435d-b500-ce2266ce63e3
2023-08-18T21:01:43.244,0.1,5,bf61f0d5-00a8-4b0e-ae3a-3358965ae7d4
2023-08-18T21:41:44.921,0.1,5,d0109433-6c0f-47bc-85a4-8ea47bd0ec08
2023-08-19T14:16:00.728,0.4,5,4078762e-2ce2-4e0c-9881-33559aaf76ae
2023-08-19T16:35:12.562,0.1,5,163038a4-713e-45a6-9b4f-55c2bc59816b
2023-08-19T23:20:21.12,0.3,5,530133ef-4449-448c-b48a-3d492b887c73
2023-08-19T23:20:24.225,0.1,5,7a316ff8-6221-47a7-9585-e92bcf12417f
2023-08-19T23:54:10.336,0.1,5,7f4065ff-a93a-4a63-a1cd-9a5cd0fa34ab
2023-08-20T14:51:30.302,0.1,35,4803eafb-af7b-49e7-b179-4e4e6430d851
2023-08-20T15:14:11.778,0.1,35,cdcfe320-d161-472b-8503-4cc56f808bac
2023-08-20T17:55:31.946,0.1,35,5b33e0f3-2a21-43ca-aab2-303221a1552c
2023-08-20T18:13:04.236,0.1,35,5e894f16-e633-494e-987a-b0d09de97d56
2023-08-20T19:10:40.478,0.1,35,60cb41da-5dd8-4ecc-bef2-4757d0150759
2023-08-20T19:10:42.618,0.1,35,ce453a12-06a1-498e-abd9-04580fbba8e7
2023-08-20T21:01:19.806,0.1,35,7c544433-0f6c-48b3-aa4d-9ca51dabe03b
2023-08-20T21:34:38.519,0.1,35,5b32b4ea-75e9-4f89-8be6-8193ec8e0920
2023-08-20T23:18:37.626,0.1,35,a01fb281-1324-45d1-a5b4-705656047fc1
2023-08-21T00:11:39.592,0.1,35,00334557-1b5b-44e4-99d7-ff9c2567e149
2023-08-21T13:40:16.879,0.1,35,917ef199-f2a4-410d-ac90-3b7742b36d6c
2023-08-21T13:45:02.073,0.1,35,1e36f7d8-0e49-48dd-a32e-2124a16bb6fa
2023-08-21T14:42:27.072,0.1,35,7eea153c-d1fb-4584-8744-83e856be2ff8
2023-08-21T16:22:04.176,0.1,35,2d02d515-8600-4af6-9fa0-4add0a12a85f
2023-08-21T17:37:52.408,0.1,35,d3ae85ed-1a31-40ac-962d-caf21d2275d5
2023-08-21T19:45:00.483,0.1,35,a2ba15a9-7502-4183-b107-54285e85051f
2023-08-21T20:00:54.223,0.1,35,e772ad8d-0dff-40b6-a3a1-0b317ae7289b
2023-08-21T23:31:41.852,0.1,35,810668a5-47c4-4d47-b68e-729719c46acc
2023-08-22T00:54:09.613,0.1,35,bea7085e-2e02-47b3-9072-b150c365b43c
2023-08-22T12:51:02.45,0.1,35,04a25ff4-dde2-4130-b7e4-e38ee55ad693
2023-08-22T13:04:58.742,0.1,35,822a92af-cf8e-44d0-b4c6-1312f303664d
2023-08-22T14:15:44.572,0.1,35,84ec6b59-9e19-4b27-826a-c6125d7725f6
2023-08-22T15:22:59.23,0.1,35,cfe8592c-0038-44b6-98c8-e55f7f756b7e
2023-08-22T17:41:29.081,0.1,35,924be1ed-9850-49a8-b815-dad17224c5df
2023-08-22T17:41:31.15,0.1,35,24d6ffc5-b7e8-4d61-a5ec-f6daae619e9a
2023-08-22T19:19:50.802,0.1,35,52b1e705-0b66-4770-ab7b-9d946c2ff270
2023-08-22T21:28:55.939,0.1,35,757f62e3-1549-41d1-8823-0b23298273bd
2023-08-22T21:28:57.99,0.1,35,bf5ce33a-ba45-42be-8d3b-7fafb60026cd
2023-08-22T22:14:49.706,0.1,35,84676fc2-93e1-4a10-8424-35b2ce0084bd
2023-08-23T12:18:03.774,0.1,35,2a3fb07e-85c9-48f9-88d5-5abb67b6584c
2023-08-23T13:56:47.887,0.1,35,41e062d5-98ea-4069-b6b0-badb92173be5
2023-08-23T13:56:57.587,0.1,35,025e3203-15f6-42e2-8845-ac77840a029f
2023-08-23T14:32:28.659,0.1,35,ca698e90-708b-4db6-9c24-c868c7115153
2023-08-23T21:41:02.248,0.1,35,2605f6cb-e12e-4315-8e35-15980e8038a2
2023-08-23T22:23:37.965,0.1,35,0196ca57-a265-4fcd-81f4-7a483fd0deba
2023-08-23T23:00:04.979,0.1,35,96168933-987b-4dfc-a5d5-a6bcc6f557c2
2023-08-23T23:34:43.242,0.1,35,5412021d-fb3d-42aa-9443-b224a238c57b
2023-08-23T23:46:27.891,0.1,35,06864b3e-0fc7-4862-8b61-c34ec64da44c
2023-08-24T01:17:38.41,0.1,35,5486e570-e3c8-4e29-bce9-a426473d8ca3
2023-08-24T14:03:14.914,0.1,35,49c29cb1-2289-46ef-8230-8a891384ad02
2023-08-24T14:39:00,0.1,35,64137018-f64f-467d-995d-2f99410d0430
2023-08-24T15:16:33.351,0.1,35,37fddb38-cf99-4abe-b55e-f568e3270285
2023-08-24T17:23:38.397,0.1,35,41fde3ac-2963-4698-95af-5bbc16c221e7
2023-08-24T18:08:17.662,0.1,35,7baf93d5-4cdd-4cb0-a6fe-4c0340e4305f
2023-08-24T18:42:44.721,0.1,35,674bdec6-d8fd-44f2-89a6-de8d71742734
2023-08-24T21:05:43.961,0.1,35,53d46609-2f42-4233-a1a0-c3e15c792fe3
2023-08-24T23:48:05.395,0.1,35,39a8ae78-7add-4128-80db-654e5cb6c16d
2023-08-25T00:22:05.984,0.1,35,dcf92879-467b-4ab6-9708-487d89a88c3e
2023-08-25T00:45:34.557,0.1,35,08fe7b8e-102b-43e0-ae21-d2138c1d1293
2023-08-25T12:09:40.067,0.1,35,5cc3c05b-76bc-4c50-9427-656e6706b3e7
2023-08-25T12:48:08.574,0.1,35,3978515c-34fe-4079-8046-2d16b5a49fa6
2023-08-25T12:51:55.812,0.1,35,6bc1f3b9-55db-49b0-9c8e-3782226b047a
2023-08-25T17:03:35.376,0.1,35,00e63f8f-ffbf-4154-aebe-629f16830da3
2023-08-25T18:20:00,0.1,35,43e71f46-e5ac-4977-b951-38687796828a
2023-08-25T19:01:09.049,0.1,35,854b13d1-0f04-4322-8d8a-d6cb75dae9c5
2023-08-25T19:32:59.65,0.1,35,e3e60d3a-b6a6-4aaa-8989-1e5547c74b19
2023-08-25T20:21:03.508,0.1,35,9cd453df-de9f-4552-9c12-8ee9e194f3ed
2023-08-25T20:58:05.973,0.1,35,caad8785-077f-496f-a886-4e7b076d0d41
2023-08-25T21:52:20.033,0.1,35,efb70ceb-7628-4321-8647-8a99fdd725df
2023-08-25T22:56:42.572,0.1,35,7ae01b60-5007-4049-a71b-3a93db7b75c6
2023-08-25T23:00:56.808,0.1,35,22f5e033-df55-4c62-8fd0-c5e0132b50be
2023-08-25T23:29:18.949,0.1,35,d71a5718-d3ec-47f2-b1b4-e5b5e130d09c
2023-08-26T10:40:57.667,0.1,35,e4e94dce-d607-45be-9f11-213793161e08
2023-08-26T10:40:59.405,0.05,35,9bc70cd0-8689-4e45-9192-a18c7be00260
